Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",GDP (current US$) [NY.GDP.MKTP.CD]
2017,YR2017,Afghanistan,AFG,35530081,20815300220.0428
2017,YR2017,Albania,ALB,2873457,13039352743.9616
2017,YR2017,Algeria,DZA,41318142,170370810917.971
2017,YR2017,American Samoa,ASM,55641,..
2017,YR2017,Andorra,AND,76965,3012914131.16971
2017,YR2017,Angola,AGO,29784193,124209385825.22
2017,YR2017,Antigua and Barbuda,ATG,102012,1532397555.55556
2017,YR2017,Argentina,ARG,44271041,637590419269.324
2017,YR2017,Armenia,ARM,2930450,11536590635.8268
2017,YR2017,Aruba,ABW,105264,..
2017,YR2017,Australia,AUS,24598933,1323421072479.07
2017,YR2017,Austria,AUT,8809212,416595666396.636
2017,YR2017,Azerbaijan,AZE,9862429,40747792237.9735
2017,YR2017,"Bahamas, The",BHS,395361,12162100000
2017,YR2017,Bahrain,BHR,1492584,35307127659.5745
2017,YR2017,Bangladesh,BGD,164669751,249723887765.42
2017,YR2017,Barbados,BRB,285719,4796845980.8226
2017,YR2017,Belarus,BLR,9507875,54442374372.5094
2017,YR2017,Belgium,BEL,11372068,492681283049.248
2017,YR2017,Belize,BLZ,374681,1838000000
2017,YR2017,Benin,BEN,11175692,9273558271.64744
2017,YR2017,Bermuda,BMU,65441,..
2017,YR2017,Bhutan,BTN,807610,2511852941.17647
2017,YR2017,Bolivia,BOL,11051600,37508642112.8799
2017,YR2017,Bosnia and Herzegovina,BIH,3507017,18168579578.1952
2017,YR2017,Botswana,BWA,2291661,17406530780.7155
2017,YR2017,Brazil,BRA,209288278,2055505502224.73
2017,YR2017,British Virgin Islands,VGB,31196,..
2017,YR2017,Brunei Darussalam,BRN,428697,12128089001.5858
2017,YR2017,Bulgaria,BGR,7075991,56831518294.4397
2017,YR2017,Burkina Faso,BFA,19193382,12873114800.0165
2017,YR2017,Burundi,BDI,10864245,3477502178.27657
2017,YR2017,Cabo Verde,CPV,546388,1753736711.67273
2017,YR2017,Cambodia,KHM,16005373,22158209502.6391
2017,YR2017,Cameroon,CMR,24053727,34798596482.4274
